Taxon Id	Common name	Scientific name	Lineage	Links
10244		Monkeypox virus	Viruses, Varidnaviria, Bamfordvirae, Nucleocytoviricota, Pokkesviricetes, Chitovirales, Poxviridae, Chordopoxvirinae, Orthopoxvirus	
10280	MOCV	Molluscum contagiosum virus subtype 1	Viruses, Varidnaviria, Bamfordvirae, Nucleocytoviricota, Pokkesviricetes, Chitovirales, Poxviridae, Chordopoxvirinae, Molluscipoxvirus, Molluscum contagiosum virus	
10299	HHV-1	Human herpesvirus 1 (strain 17)	Viruses, Duplodnaviria, Heunggongvirae, Peploviricota, Herviviricetes, Herpesvirales, Herpesviridae, Alphaherpesvirinae, Simplexvirus, Human herpesvirus 1	
10315	HHV-2	Human herpesvirus 2 (strain HG52)	Viruses, Duplodnaviria, Heunggongvirae, Peploviricota, Herviviricetes, Herpesvirales, Herpesviridae, Alphaherpesvirinae, Simplexvirus, Human herpesvirus 2	
10338	HHV-3	Varicella-zoster virus (strain Dumas)	Viruses, Duplodnaviria, Heunggongvirae, Peploviricota, Herviviricetes, Herpesvirales, Herpesviridae, Alphaherpesvirinae, Varicellovirus, Human herpesvirus 3	
10360	HHV-5	Human cytomegalovirus (strain AD169)	Viruses, Duplodnaviria, Heunggongvirae, Peploviricota, Herviviricetes, Herpesvirales, Herpesviridae, Betaherpesvirinae, Cytomegalovirus, Human cytomegalovirus	
10370	HHV-6 variant A	Human herpesvirus 6A (strain Uganda-1102)	Viruses, Duplodnaviria, Heunggongvirae, Peploviricota, Herviviricetes, Herpesvirales, Herpesviridae, Betaherpesvirinae, Roseolovirus, Human betaherpesvirus 6A	
10377	HHV-4	Epstein-Barr virus (strain B95-8)	Viruses, Duplodnaviria, Heunggongvirae, Peploviricota, Herviviricetes, Herpesvirales, Herpesviridae, Gammaherpesvirinae, Lymphocryptovirus, Epstein-Barr virus (strain GD1)	
10515	HAdV-2	Human adenovirus C serotype 2	Viruses, Varidnaviria, Bamfordvirae, Preplasmiviricota, Tectiliviricetes, Rowavirales, Adenoviridae, Mastadenovirus, Human mastadenovirus C	
10580		Human papillomavirus 11	Viruses, Monodnaviria, Shotokuvirae, Cossaviricota, Papovaviricetes, Zurhausenvirales, Papillomaviridae, Firstpapillomavirinae, Alphapapillomavirus, Alphapapillomavirus 10	
